id,legal_name,jurisdiction,registration_number,country_of_incorporation,industry,is_shell,is_listed,address,risk_score,status
cmp_0045,Vertex Harbor Group,CA,REG-CMP_0045-417725,NL,Manufacturing,0,0,"350 Example Street, Singapore",36,ACTIVE
cmp_0046,Apex Cascade Group,CA,REG-CMP_0046-262150,CA,Telecom,0,0,"439 Example Street, Mauritius",46,ACTIVE
cmp_0047,Apex Pinnacle Investments,AE,REG-CMP_0047-140208,AE,Consumer,1,0,"216 Example Street, Cuba",74,ACTIVE
cmp_0048,Atlas Dynamic Trading,FR,REG-CMP_0048-105757,US,Real estate,0,0,"273 Example Street, India",55,ACTIVE
cmp_0049,Beacon Clarity Ventures,LU,REG-CMP_0049-381906,US,Healthcare,0,0,"708 Example Street, Netherlands",59,ACTIVE
cmp_0050,Nimbus Orion Group,NL,REG-CMP_0050-429778,SG,Healthcare,0,0,"979 Example Street, Myanmar",63,ACTIVE
cmp_0051,Harbor Solstice Pte. Ltd.,US,REG-CMP_0051-760307,IN,Telecom,0,0,"493 Example Street, United States",39,ACTIVE
cmp_0052,Dynamic Dynamic Private Limited,DE,REG-CMP_0052-916257,GB,Healthcare,1,0,"646 Example Street, Iran",70,ACTIVE
cmp_0053,Solstice Vertex Limited,CA,REG-CMP_0053-195519,US,Consumer,0,0,"462 Example Street, Netherlands",52,ACTIVE
cmp_0054,Crest Clarity Capital,SG,REG-CMP_0054-923549,JP,Manufacturing,0,0,"443 Example Street, France",37,ACTIVE
cmp_0055,Clarity Vantage Limited,JP,REG-CMP_0055-720445,SG,Consumer,0,0,"809 Example Street, North Korea",57,ACTIVE
cmp_0056,Meridian Quantum Investments,SY,REG-CMP_0056-684139,AE,Technology,0,1,"368 Example Street, India",54,ACTIVE
cmp_0057,Dynamic Vantage Group,SG,REG-CMP_0057-764085,GB,Healthcare,0,0,"809 Example Street, Cuba",39,ACTIVE
cmp_0058,Zenith Everest Limited,JP,REG-CMP_0058-261108,FR,Pharmaceuticals,1,0,"611 Example Street, Syria",82,ACTIVE
cmp_0059,Zenith Lumina Partners,IR,REG-CMP_0059-889182,SG,Infrastructure,0,0,"993 Example Street, Sudan",43,ACTIVE
cmp_0060,Vertex Summit Limited,KP,REG-CMP_0060-656866,JP,Technology,1,0,"295 Example Street, North Korea",78,ACTIVE
